ability,classes,wowhead_effects,effect_profile
Slice and Dice,Rogue,Dummy + Apply Aura: Mod Haste,Other / utility
Slow Fall,Mage,Apply Aura: Feather Fall,Movement
Smite,Priest,School Damage (Holy),Direct spell damage
Soothe Animal,Druid,Apply Aura: Aura #91,Other / utility
Soul Fire,Warlock,School Damage (Fire),Direct spell damage
Sprint,Rogue,Apply Aura: Mod Increase Speed,Movement
Starfire,Druid,School Damage (Arcane),Direct spell damage
Starshards,Priest,Apply Aura: Periodic Damage,Damage over time
Stealth,Rogue,Apply Aura: Shapeshift + Apply Aura: Mod Stealth + Apply Aura: Mod Decrease Speed,Concealment
Stoneclaw Totem,Shaman,Summon,Summoning
Stoneskin Totem,Shaman,Summon,Summoning
Strength of Earth Totem,Shaman,Summon,Summoning
Subjugate Demon,Warlock,Apply Aura: Mod Charm + Apply Aura: Mod Haste + Apply Aura: Mod Casting Speed,Hard control
Summon Charger,Paladin,Apply Aura: Mounted + Apply Aura: Mod Increase Mounted Speed + Script Effect,Movement
Summon Dreadsteed,Warlock,Apply Aura: Mounted + Apply Aura: Mod Increase Mounted Speed + Script Effect,Movement
Summon Felhunter,Warlock,Summon Pet,Summoning
Summon Felsteed,Warlock,Apply Aura: Mounted + Apply Aura: Mod Increase Mounted Speed + Script Effect,Movement
Summon Imp,Warlock,Summon Pet,Summoning
Summon Incubus,Warlock,Summon Pet,Summoning
Summon Succubus,Warlock,Summon Pet,Summoning
Summon Voidwalker,Warlock,Summon Pet,Summoning
Summon Warhorse,Paladin,Apply Aura: Mounted + Apply Aura: Mod Increase Mounted Speed + Script Effect,Movement
Sunder Armor,Warrior,Apply Aura: Mod Resistance,Stat & combat mods
Swipe,Druid,School Damage (Physical),Direct spell damage
Tame Beast,Hunter,Threat + Apply Aura: Periodically trigger spell + Apply Aura: Mod Resistance % (Physical),Threat manipulation
Taunt,Warrior,Taunt + Apply Aura: Taunt,Threat manipulation
Teleport: Darnassus,Mage,Teleport Units + Script Effect,Teleportation
Teleport: Ironforge,Mage,Teleport Units + Script Effect,Teleportation
Teleport: Moonglade,Druid,Teleport Units,Teleportation
Teleport: Orgrimmar,Mage,Teleport Units + Script Effect,Teleportation
Teleport: Stormwind,Mage,Teleport Units + Script Effect,Teleportation
Teleport: Thunder Bluff,Mage,Teleport Units + Script Effect,Teleportation
Teleport: Undercity,Mage,Teleport Units + Script Effect,Teleportation
Thorns,Druid,Apply Aura: Damage Shield,Absorb & shields
Thunder Clap,Warrior,School Damage (Physical) + Apply Aura: Mod Haste,Direct spell damage
Tiger's Fury,Druid,Apply Aura: Mod Damage Done,Stat & combat mods
Touch of Weakness,Priest,Apply Aura: Proc Trigger Spell + → Dummy,Other / utility
Track Beasts,Hunter,Apply Aura: Track Creatures (Beast) + Apply Aura: Track Resources (24),Perception
Track Demons,Hunter,Apply Aura: Track Creatures,Perception
Track Dragonkin,Hunter,Apply Aura: Track Creatures,Perception
Track Elementals,Hunter,Apply Aura: Track Creatures,Perception
Track Giants,Hunter,Apply Aura: Track Creatures,Perception
Track Hidden,Hunter,Apply Aura: Track Hidden + Apply Aura: Stealth Detection,Concealment
Track Humanoids,Druid,Apply Aura: Track Creatures,Perception
Track Humanoids,Hunter,Apply Aura: Track Creatures,Perception
Track Undead,Hunter,Apply Aura: Track Creatures,Perception
Tranquility,Druid,Apply Area Aura: Periodic Heal,Healing
Tranquilizing Shot,Hunter,Dispel,Dispel / cleanse
Travel Form,Druid,Apply Aura: Shapeshift (Travel Form) + Apply Aura: Immunity - Mechanic (Polymorphed),Shapeshift
Tremor Totem,Shaman,Summon,Summoning
Turn Undead,Paladin,Apply Aura: Mod Fear + Apply Aura: Mod Increase Speed,Hard control
Unending Breath,Warlock,Apply Aura: Underwater Breathing,Movement
Vampiric Embrace,Priest,Apply Aura: Dummy,Other / utility
Vanish,Rogue,Trigger Spell + → Apply Aura: Mod Stealth + → Apply Aura: Mod Increase Speed + Trigger Spell + → Apply Aura: Immunity - Mechanic + → Apply Aura: Immunity - Mechanic + Effect #79,Concealment
Viper Sting,Hunter,Apply Aura: Periodic Mana Leech,Resource manipulation
Volley,Hunter,Apply Aura: Periodic Damage,Damage over time
Water Breathing,Shaman,Apply Aura: Underwater Breathing,Movement
Water Walking,Shaman,Apply Aura: Water Walk,Movement
Whirlwind,Warrior,Normalized Weapon Dmg,Weapon strike
Windfury Totem,Shaman,Summon,Summoning
Windfury Weapon,Shaman,Enchant Item (temporary),Item creation
Windwall Totem,Shaman,Summon,Summoning
Wing Clip,Hunter,Apply Aura: Decrease Run Speed % + School Damage (Physical),Direct spell damage
Wrath,Druid,School Damage (Nature),Direct spell damage
Wyvern Sting,Hunter,Apply Aura: Stun,Hard control
